NAME,CASTE,GENDER,CUTOFF_RANK,BRANCH,TUITION_FEE
B V RAJU INSTITUTE OF TECHNOLOGY,ST,FEMALE,24774,CSE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,MALE,8542,CSE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,FEMALE,8575,CSE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,MALE,17755,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,FEMALE,19340,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,MALE,55505,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,FEMALE,66749,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,MALE,68732,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,FEMALE,78104,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,MALE,39412,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,FEMALE,88594,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,MALE,18591,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,FEMALE,20349,ECE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,MALE,39154,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,FEMALE,39154,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,MALE,99257,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,FEMALE,99257,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,MALE,116988,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,FEMALE,116988,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,MALE,41217,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,FEMALE,55602,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,MALE,58899,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,FEMALE,61942,EEE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,MALE,55364,MEC,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,FEMALE,77883,MEC,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,MALE,106233,MEC,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,FEMALE,117234,MEC,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,MALE,124460,MEC,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,FEMALE,124460,MEC,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,MALE,102039,MEC,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,FEMALE,102039,MEC,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,MALE,112658,MEC,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,FEMALE,112658,MEC,135000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,MALE,4347,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,FEMALE,5296,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,MALE,12455,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,FEMALE,18220,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,MALE,15636,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,FEMALE,24447,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,MALE,13863,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,FEMALE,17495,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,MALE,4627,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,FEMALE,5613,AID,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,MALE,3667,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,FEMALE,4431,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,MALE,8378,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,FEMALE,13751,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,MALE,14243,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,FEMALE,16669,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,MALE,14235,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,FEMALE,19821,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,MALE,4252,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,FEMALE,4431,AIM,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,MALE,27388,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,FEMALE,61803,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,MALE,48750,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,FEMALE,61803,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,MALE,56358,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,FEMALE,61803,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,MALE,44439,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,FEMALE,67472,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,MALE,73939,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,FEMALE,73939,CIV,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,MALE,2135,CSE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,FEMALE,2219,CSE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,MALE,3807,CSE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,FEMALE,4497,CSE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,MALE,8288,CSE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,FEMALE,8288,CSE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,MALE,6650,CSE,140000
